"Species","Name","Count"
"Dog","Pete",34
"Dog","Kali",34
"Dog","Indy",34
"Dog","Dottie",34
"Dog","Louis",33
"Dog","Mango",33
"Dog","Barkley",33
"Dog","Rory",33
"Dog","Spike",33
"Dog","Kira",33
"Dog","Chewie",33
"Dog","Franklin",33
"Dog","Misty",33
"Dog","Birdie",33
"Dog","Chip",33
"Dog","Summer",33
"Dog","Ada",33
"Dog","Star",32
"Dog","Lizzie",32
"Dog","Kaya",32
"Dog","Skye",32
"Dog","Russell",32
"Dog","Sophia",32
"Dog","Daphne",32
"Dog","Rita",32
"Dog","Yuki",32
"Dog","Mimi",31
"Dog","Alfie",31
"Dog","Juniper",31
"Dog","Tank",31
"Dog","Marty",31
"Dog","Sassy",31
"Dog","Boo",31
"Dog","Chelsea",31
"Dog","Maxwell",31
"Dog","Diego",31
"Dog","Rose",31
"Dog","Logan",30
"Dog","Spencer",30
"Dog","Bernie",30
"Dog","Isabella",30
"Dog","Petey",30
"Dog","Atticus",30
"Dog","Polly",30
"Dog","Woody",30
"Dog","Kiki",30
"Dog","Sully",30
"Dog","Cash",30
"Dog","Auggie",30
"Dog","Annabelle",30
"Dog","Panda",30
"Dog","Quinn",29
"Dog","Hunter",29
"Dog","Paco",29
"Dog","Luca",29
"Dog","Olivia",29
"Dog","Maximus",29
"Dog","Iggy",29
"Dog","Sheba",29
"Dog","Juneau",29
"Dog","Samantha",29
"Dog","Chico",29
"Dog","Kevin",29
"Dog","Tessa",28
"Dog","Oso",28
"Dog","Dusty",28
"Dog","Denali",28
"Dog","Casper",28
"Dog","Guinness",28
"Dog","Dodger",28
"Dog","Misha",28
"Dog","Angus",28
"Dog","June",28
"Dog","Merlin",28
"Dog","Eva",28
"Dog","Lincoln",28
"Dog","Ben",27
"Dog","Griffin",27
"Dog","Mila",27
"Dog","Linus",27
"Dog","Sebastian",27
"Dog","Brooklyn",27
"Dog","Tasha",27
"Dog","Sherman",27
"Dog","Diesel",27
"Dog","Willie",27
"Dog","Tess",27
"Dog","Tanner",27
"Dog","Stevie",27
"Dog","Scarlett",27
"Dog","Seamus",27
"Dog","Brutus",27
"Dog","Allie",27
"Dog","Fritz",26
"Dog","Bubba",26
"Dog","Taz",26
"Dog","Murray",26
"Dog","Smokey",26
"Dog","Koko",26
"Dog","Banjo",26
"Dog","Delilah",26
"Dog","Macy",26
"Dog","Theodore",25
"Dog","Nugget",25
"Dog","Manny",25
"Dog","Diamond",25
"Dog","Rupert",25
"Dog","Ryder",25
"Dog","Oakley",25
"Dog","Zorro",25
"Dog","Hana",25
"Dog","Blaze",25
"Dog","Happy",25
"Dog","Edgar",25
"Dog","Percy",25
"Dog","Scooby",25
"Dog","Norman",25
"Dog","Emily",25
"Dog","Daisy Mae",25
"Dog","Billy",25
"Dog","Snickers",25
"Dog","Gunner",24
"Dog","Willy",24
"Dog","Kobe",24
"Dog","LuLu",24
"Dog","Remi",24
"Dog","Radar",24
"Dog","Heidi",24
"Dog","Madeline",24
"Dog","Tula",24
"Dog","Maverick",24
"Dog","Kirby",24
"Dog","Brady",24
"Dog","Sierra",24
"Dog","Kaia",24
"Dog","Astro",24
"Dog","Joy",24
"Dog","Lexie",24
"Dog","Brownie",24
"Dog","Pablo",24
"Dog","Andy",24
"Dog","Tommy",24
"Dog","Evie",24
"Dog","Zero",23
"Dog","Sampson",23
"Dog","Pickles",23
"Dog","Bowser",23
"Dog","Yogi",23
"Dog","Huckleberry",23
"Dog","Lucas",23
"Dog","Clementine",23
"Dog","Buttercup",23
"Dog","Jackie",23
"Dog","Hobbes",23
"Dog","Augie",23
"Dog","Koa",23
"Dog","Odie",23
"Dog","Chica",23
"Dog","Sky",23
"Dog","Miso",22
"Dog","King",22
"Dog","Mona",22
"Dog","Raven",22
"Dog","Kiwi",22
"Dog","Freddie",22
"Dog","Kodiak",22
"Dog","Buckley",22
"Dog","Indie",22
"Dog","Flash",22
"Dog","Snoopy",22
"Dog","Ringo",22
"Dog","Captain",22
"Dog","Lucca",22
"Dog","Lila",22
"Dog","Butters",22
"Dog","Buffy",22
"Dog","Morgan",22
"Dog","Calvin",22
"Dog","Rainier",21
"Dog","Comet",21
"Dog","Rosa",21
"Dog","Karma",21
"Dog","Mollie",21
"Dog","Doug",21
"Dog","Mowgli",21
"Dog","Farley",21
"Dog","Titus",21
"Dog","Tina",21
"Dog","Django",21
"Dog","Pip",21
"Dog","Basil",21
"Dog","Pixie",21
"Dog","Brodie",21
"Dog","Fred",21
"Dog","Hattie",21
"Dog","Arthur",21
"Dog","Jet",20
"Dog","Pumpkin",20
"Dog","Cowboy",20
"Dog","Laika",20
"Dog","Petunia",20
"Dog","Pebbles",20
"Dog","Dante",20
"Dog","Boba",20
"Dog","Luigi",20
"Dog","Rico",20
"Dog","Ozzy",20
"Dog","Truman",20
"Dog","Stormy",20
"Dog","Clyde",20
"Dog","Jazz",20
"Dog","Jade",20
"Dog","Sammie",20
"Dog","Nikki",20
"Dog","Elsie",20
"Dog","Betsy",20
"Dog","Jojo",20
"Dog","Goldie",20
"Dog","Vito",20
"Dog","Willa",20
"Dog","Beatrice",20
"Dog","Maui",20
"Dog","Peaches",20
"Dog","Tango",20
"Dog","Hailey",20
"Dog","Precious",20
"Dog","Sunshine",20
"Dog","Mandy",20
"Dog","Wiley",20
"Dog","Lenny",20
"Dog","Matilda",20
"Dog","Opal",20
"Dog","Lewis",19
"Dog","Dewey",19
"Dog","Darwin",19
"Dog","Shasta",19
"Dog","Mitzi",19
"Dog","Barry",19
"Dog","Kayla",19
"Dog","Onyx",19
"Dog","Huck",19
"Dog","Jupiter",19
"Dog","Dobby",19
"Dog","Chewbacca",19
"Dog","Dudley",19
"Dog","Addie",19
"Dog","Pickle",19
"Dog","Darby",19
"Dog","Bob",19
"Dog","Baloo",19
"Dog","Rooney",19
"Dog","Beans",19
"Dog","Nico",19
"Dog","Moe",19
"Dog","Bug",19
"Dog","Owen",18
"Dog","Cinnamon",18
"Dog","Jesse",18
"Dog","Maeby",18
"Dog","Kenai",18
"Dog","JJ",18
"Dog","Freyja",18
"Dog","Carly",18
"Dog","Foxy",18
"Dog","Aspen",18
"Dog","Reese",18
"Dog","Elsa",18
"Dog","Gatsby",18
"Dog","Hercules",18
"Dog","Huxley",18
"Dog","Austin",18
"Dog","Louise",18
"Dog","Coconut",18
"Dog","Steve",18
"Dog","Mack",18
"Dog","Ty",18
"Dog","Raleigh",18
"Dog","Dora",18
"Dog","Bunny",18
"Dog","Luka",18
"Dog","Nemo",18
"Dog","Grover",18
"Dog","Taco",18
"Dog","Wilbur",18
"Dog","Nelly",18
"Dog","Muffin",18
"Dog","Mo",18
"Dog","Obi",18
"Dog","Sonny",18
"Dog","Mina",18
"Dog","Moby",18
"Dog","Nelson",18
"Dog","Rascal",18
"Dog","Emmy",18
"Dog","Nacho",18
"Dog","Carl",18
"Dog","Cole",17
"Dog","Dylan",17
"Dog","Mattie",17
"Dog","Bogey",17
"Dog","Lula",17
"Dog","Nikita",17
"Dog","Chief",17
"Dog","Blu",17
"Dog","Gypsy",17
"Dog","Isabelle",17
"Dog","Nora",17
"Dog","Roger",17
"Dog","Tater",17
"Dog","Waffles",17
"Dog","Ralph",17
"Dog","Chuck",17
"Dog","Maxine",17
"Dog","Emmett",17
"Dog","Monkey",17
"Dog","Tallulah",17
"Dog","Shiloh",17
"Dog","Gertie",17
"Dog","Amber",17
"Dog","Bode",17
"Dog","Jenny",17
"Dog","Dallas",17
"Dog","Bobo",17
"Dog","Boris",17
"Dog","Cora",17
"Dog","Gemma",17
"Dog","Elvis",17
"Dog","Fitz",17
"Dog","Axel",17
"Dog","Neko",17
"Dog","Nola",17
"Dog","Sawyer",17
"Dog","Wallace",17
"Dog","Freddy",16
"Dog","Link",16
"Dog","Niko",16
"Dog","Pepe",16
"Dog","Leroy",16
"Dog","Lilo",16
"Dog","Tug",16
"Dog","Howie",16
"Dog","Roux",16
"Dog","Zuzu",16
"Dog","Leon",16
"Dog","Bobby",16
"Dog","Sullivan",16
"Dog","Ash",16
"Dog","Carmen",16
"Dog","Red",16
"Dog","Flora",16
"Dog","Snoop",16
"Dog","Rowan",16
"Dog","Lou",16
"Dog","Hamilton",16
"Dog","Ricky",16
"Dog","Arya",16
"Dog","Charles",16
